,date,USD,BTC,ETH,XLM,USDT,NANO
62,2017-06-04,96.720001,2511.810059,245.332001,0.039989,1.0116399999999999,0.035264
63,2017-06-05,96.800003,2686.810059,248.464005,0.041507,1.0168,0.038819
64,2017-06-06,96.639999,2863.199951,264.466003,0.045406999999999996,1.00483,0.040414
65,2017-06-07,96.75,2732.159912,258.071014,0.047098,1.00898,0.036579
66,2017-06-08,96.91999799999999,2805.6201170000004,261.66598500000003,0.05042,1.00476,0.038424
67,2017-06-09,97.269997,2823.810059,281.737,0.047356,1.0006700000000002,0.037406
68,2017-06-10,97.269997,2947.709961,337.667999,0.042866,1.02437,0.033294
69,2017-06-11,97.269997,2958.110107,340.60900899999996,0.045915,1.00817,0.036007
70,2017-06-12,97.139999,2659.6298829999996,401.48999,0.039988,1.01776,0.029852999999999998
71,2017-06-13,96.980003,2717.02002,397.536987,0.04186,1.00839,0.036417000000000005
72,2017-06-14,96.940002,2506.3701170000004,359.053009,0.039827999999999995,1.02516,0.046044999999999996
73,2017-06-15,97.43,2464.580078,361.933014,0.037439,1.0174299999999998,0.059504999999999995
74,2017-06-16,97.160004,2518.560059,370.22699,0.037536,1.01562,0.12041400000000001
75,2017-06-17,97.160004,2655.8798829999996,379.414001,0.039251,0.988584,0.121472
76,2017-06-18,97.160004,2548.290039,371.458008,0.038332,1.00282,0.158883
77,2017-06-19,97.529999,2589.600098,370.056,0.040251999999999996,0.9864059999999999,0.14266600000000002
78,2017-06-20,97.75,2721.790039,359.005005,0.039366000000000005,0.9752719999999999,0.103996
79,2017-06-21,97.559998,2689.100098,336.872009,0.038124,0.981361,0.089661
80,2017-06-22,97.540001,2705.409912,336.371002,0.03872,0.972902,0.10543800000000002
81,2017-06-23,97.300003,2744.909912,341.739014,0.041397,1.006,0.110624
82,2017-06-24,97.300003,2608.719971,323.696014,0.03821,1.0205,0.105755
83,2017-06-25,97.300003,2589.409912,303.24798599999997,0.033373,1.01315,0.09240599999999999
84,2017-06-26,97.43,2478.449951,272.691986,0.030218000000000002,1.0101,0.066065
85,2017-06-27,96.470001,2552.449951,293.088013,0.029113,1.0071299999999999,0.069492
86,2017-06-28,96.050003,2574.790039,327.927002,0.031998,1.01179,0.087052
87,2017-06-29,95.629997,2539.320068,302.882996,0.029039,1.0178,0.076797
88,2017-06-30,95.660004,2480.840088,294.91598500000003,0.026987999999999998,1.00583,0.072368
89,2017-07-01,95.660004,2434.550049,274.60101299999997,0.024465999999999998,1.01997,0.062672
90,2017-07-02,95.660004,2506.469971,287.987,0.025706,1.02026,0.063454
91,2017-07-03,95.660004,2564.060059,282.89801,0.026266,1.00075,0.060275
92,2017-07-04,95.660004,2601.639893,273.303009,0.02575,0.998828,0.052088
93,2017-07-05,96.290001,2601.98999,268.77398700000003,0.025441,0.99646,0.056764999999999996
94,2017-07-06,95.82,2608.560059,270.549011,0.025418,1.0036,0.057865
95,2017-07-07,96.010002,2518.659912,245.99099700000002,0.020415,1.00799,0.053479
96,2017-07-08,96.010002,2571.340088,251.69700600000002,0.021597,0.999725,0.047166
97,2017-07-09,96.010002,2518.439941,242.13699300000002,0.019499000000000002,1.0099200000000002,0.046331
98,2017-07-10,96.050003,2372.560059,215.356995,0.015137000000000001,1.00795,0.037843
99,2017-07-11,95.739998,2337.790039,197.404007,0.014518000000000001,1.01229,0.03318
100,2017-07-12,95.790001,2398.840088,230.774002,0.017907,0.9974559999999999,0.033663
101,2017-07-13,95.730003,2357.899902,209.733002,0.017351,1.00383,0.038031
102,2017-07-14,95.110001,2233.340088,199.662003,0.016321000000000002,1.003,0.03929
103,2017-07-15,95.110001,1998.859985,170.654999,0.017618,1.00197,0.032435000000000005
104,2017-07-16,95.110001,1929.819946,157.363007,0.015653999999999998,0.9991610000000001,0.026637
105,2017-07-17,95.129997,2228.409912,193.423996,0.018614,0.9968879999999999,0.031795
106,2017-07-18,94.660004,2318.8798829999996,234.391006,0.018666,0.998216,0.034135000000000006
107,2017-07-19,94.800003,2273.429932,199.703003,0.017256,1.00309,0.031939999999999996
108,2017-07-20,94.269997,2817.600098,227.26499900000002,0.018859,0.986866,0.041520999999999995
109,2017-07-21,93.940002,2667.76001,218.30499300000002,0.019201,0.997202,0.037616000000000004
110,2017-07-22,93.940002,2810.1201170000004,229.475998,0.022877,0.9932,0.039256
111,2017-07-23,93.940002,2730.399902,225.951004,0.021769,0.997761,0.039564999999999996
112,2017-07-24,93.980003,2754.860107,224.71099900000002,0.022605,0.9939969999999999,0.051604
113,2017-07-25,94.050003,2576.47998,206.71000700000002,0.018550999999999998,0.9998020000000001,0.049642
114,2017-07-26,93.66999799999999,2529.449951,203.953003,0.018878,0.9969549999999999,0.046458
115,2017-07-27,93.860001,2671.780029,204.317993,0.018322,0.997275,0.045271
116,2017-07-28,93.260002,2809.01001,193.123001,0.016961,1.00194,0.039643
117,2017-07-29,93.260002,2726.449951,205.789001,0.017447,0.996619,0.039299
118,2017-07-30,93.260002,2757.179932,197.977997,0.015984,0.998868,0.038915
119,2017-07-31,92.860001,2875.340088,203.871002,0.016094999999999998,1.00092,0.040178
120,2017-08-01,93.029999,2718.26001,226.768997,0.017933,0.996819,0.039079
121,2017-08-02,92.83000200000001,2710.669922,219.951996,0.018413,1.0014299999999998,0.0378
122,2017-08-03,92.809998,2804.72998,225.34199500000003,0.01886,0.969304,0.038993
123,2017-08-04,93.540001,2895.889893,223.07299799999998,0.022241,1.00435,0.040648000000000004
124,2017-08-05,93.540001,3252.909912,256.50698900000003,0.023984000000000002,0.9983139999999999,0.055465
125,2017-08-06,93.540001,3213.939941,261.566986,0.022701,1.00104,0.054671000000000004
126,2017-08-07,93.43,3378.9399409999996,269.179993,0.022195,0.9962540000000001,0.068763
127,2017-08-08,93.639999,3419.9399409999996,296.76901200000003,0.023737,1.0015100000000001,0.0563
128,2017-08-09,93.519997,3342.469971,296.027008,0.022996,1.00286,0.053033000000000004
129,2017-08-10,93.400002,3381.280029,295.891998,0.022007,0.992991,0.09866
130,2017-08-11,93.07,3650.6201170000004,308.864014,0.021480000000000003,1.00089,0.11229000000000001
131,2017-08-12,93.07,3884.709961,310.60101299999997,0.020218,1.0011299999999999,0.097789
132,2017-08-13,93.07,4073.26001,298.06399500000003,0.01825,0.998616,0.10370499999999999
133,2017-08-14,93.459999,4325.129883,300.096985,0.017622,0.9981629999999999,0.09711900000000001
134,2017-08-15,93.849998,4181.930176,289.817993,0.017433,1.00153,0.10260899999999999
135,2017-08-16,93.489998,4376.629883,302.266998,0.017702000000000002,1.0012,0.15012
